x,y
-6599.72998046875,12231.8642578125
-6697.83056640625,12251.2724609375
-6796.0703125,12269.9912109375
-6894.4189453125,12288.1455078125
-6991.97607421875,12306.123046875
-7088.76416015625,12331.11328125
-7181.67236328125,12366.9404296875
-7270.38671875,12412.9208984375
-7355.51171875,12465.3916015625
-7417.42333984375,12543.56640625
-7468.32177734375,12629.2724609375
-7524.4560546875,12710.560546875
-7598.849609375,12775.58984375
-7695.4482421875,12798.2060546875
-7794.0380859375,12814.6064453125
-7893.07666015625,12828.46875
-7992.2568359375,12841.2666015625
-8090.7802734375,12852.9169921875
-8188.8056640625,12872.513671875
-8282.4521484375,12905.7978515625
-8371.94921875,12950.236328125
-8458.5791015625,13000.1845703125
-8545.2314453125,13050.1015625
-8631.9296875,13099.986328125
-8718.43359375,13150.1552734375
-8804.966796875,13200.23046875
-8894.2333984375,13243.515625
-8989.841796875,13271.521484375
-9087.23828125,13294.189453125
-9185.125,13314.474609375
-9284.0888671875,13328.8681640625
-9383.5029296875,13339.662109375
-9483.2138671875,13346.8564453125
-9583.12890625,13349.9541015625
-9682.3212890625,13348.2802734375
-9781.8818359375,13338.943359375
-9879.2431640625,13317.603515625
-9970.822265625,13280.1865234375
-10053.080078125,13223.8974609375
-10119.375,13149.0166015625
-10199.35546875,13178.9921875
-10276.33203125,13242.328125
-10349.134765625,13310.87890625
-10421.298828125,13380.126953125
-10484.4599609375,13457.658203125
-10541.02734375,13539.9716796875
-10610.990234375,13607.1875
-10699.9541015625,13652.1953125
-10694.5810546875,13540.908203125
-10772.908203125,13462.5771484375
-10752.4892578125,13345.1259765625
-10788.2119140625,13234.6064453125
-10720.9833984375,13169.8837890625
-10736.23828125,13071.560546875
-10740.1669921875,12959.3935546875
-10743.7958984375,12949.666015625
-10779.84375,12853.0380859375
-10712.84765625,12787.03125
-10731.287109375,12689.037109375
-10750.3701171875,12588.2529296875
-10769.9853515625,12486.5869140625
-10789.994140625,12384.6650390625
-10714.67578125,12318.8681640625
-10752.9765625,12220.2841796875
-10792.0458984375,12120.5009765625
-10717.6875,12051.5654296875
-10757.474609375,11948.865234375
-10682.7861328125,11877.9033203125
-10692.2373046875,11852.5029296875
-10721.212890625,11774.62890625
-10755.3359375,11672.3212890625
-10784.5205078125,11571.0517578125
-10706.91015625,11507.6318359375
-10734.177734375,11406.7333984375
-10760.3623046875,11304.974609375
-10784.2451171875,11202.9365234375
-10706.494140625,11141.7060546875
-10728.318359375,11042.384765625
-10746.212890625,10944.0244140625
-10754.3037109375,10834.42578125
